id,name,brewery_type,city,state_province,country,latitude,longitude,has_website,has_phone,name_length,num_words_name
ae7b3174-8be8-4d53-a3a5-9b8240970eea,'s,brewpub,Kronach,Bayern,Germany,50.241246,11.327765,1,1,2,1
aa7cbe9b-3a0f-4888-9884-6186b0042b55,’t Drankorgel,micro,Mol,Vlaanderen,Belgium,51.1762578,5.0569549,1,1,13,2
1034754f-abf9-4b42-bd6d-37e110ba4b1a,'T Kroontje,micro,Lebbeke,Vlaanderen,Belgium,51.0078878,4.0913928,1,1,11,2
5128df48-79fc-4f0f-8b52-d06be54d0cec,(405) Brewing Co,micro,Norman,Oklahoma,United States,35.25738891,-97.46818222,1,1,16,3
9c5a66c8-cc13-416f-a5d9-0a769c87d318,(512) Brewing Co,micro,Austin,Texas,United States,41.5082102,-85.5378194,1,1,16,3
34e8c68b-6146-453f-a4b9-1f6cd99a5ada,1 of Us Brewing Company,micro,Mount Pleasant,Wisconsin,United States,42.720108268996,-87.883363502094,1,1,23,5
21f21cc0-5b2f-4b79-be29-3bc625bcc4c8,1. Altenberger Brauhaus,brewpub,Oberasbach,Bayern,Germany,49.4369958,10.9685585,1,1,23,3
6d14b220-8926-4521-8d19-b98a2d6ec3db,10 Barrel Brewing Co,large,Bend,Oregon,United States,44.08683531,-121.281706,1,1,20,4
e2e78bd8-80ff-4a61-a65c-3bfbd9d76ce2,10 Barrel Brewing Co,large,Bend,Oregon,United States,44.0575649,-121.3288021,0,1,20,4
e432899b-7f58-455f-9c7b-9a6e2130a1e0,10 Barrel Brewing Co,large,Portland,Oregon,United States,45.5259786,-122.6855056,1,1,20,4
ef970757-fe42-416f-931d-722451f1f59c,10 Barrel Brewing Co,large,San Diego,California,United States,32.714813,-117.129593,1,1,20,4
9f1852da-c312-42da-9a31-097bac81c4c0,10 Barrel Brewing Co - Bend Pub,large,Bend,Oregon,United States,44.0912109,-121.2809536,0,1,31,7
ea4f30c0-bce6-416b-8904-fab4055a7362,10 Barrel Brewing Co - Boise,large,Boise,Idaho,United States,43.618516,-116.202929,1,1,28,6
1988eb86-f0a2-4674-ba04-02454efa0d31,10 Barrel Brewing Co - Denver,large,Denver,Colorado,United States,39.7592508,-104.9853655,0,1,29,6
1ecc330f-6275-42a5-b14e-00adbed62752,10 Torr Distilling and Brewing,micro,Reno,Nevada,United States,39.5171702,-119.7732015,1,1,30,5
7531dbd8-afc9-4b5b-95bc-7ece7f2c0bf3,10-56 Brewing Company,micro,Knox,Indiana,United States,41.289715,-86.627954,0,1,21,3
49eaa1ab-5cee-40cd-a0dc-da14ba2b7dac,1000 Hills Brewing Company,brewpub,Durban,KwaZulu-Natal,South Africa,-29.7711,30.7063,1,1,26,4
5ae467af-66dc-4d7f-8839-44228f89b596,101 North Brewing Company,closed,Petaluma,California,United States,38.27029381,-122.665055,1,1,25,4
4ffda196-dd59-44a5-9eeb-5f7fd4b58f5a,105 West Brewing Co,micro,Castle Rock,Colorado,United States,39.38269495,-104.8667206,1,1,19,4
